VMM=0, CKTPrunning=1, PDAC=40, XADC=707, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=567, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=548, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=531, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=415, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=416, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=464, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=432, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=703, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=567, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=549, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=529, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=414, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=419, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=431, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=706, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=569, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=549, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=530, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=405, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=409, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=462, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=427, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=706, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=568, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=549, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=530, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=415, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=418, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=464, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=431, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=701, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=566, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=551, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=532, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=414, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=413, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=431, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=705, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=568, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=548, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=530, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=415, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=418, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=430, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=705, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=568, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=532, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=416, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=417, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=430, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=705, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=571, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=551, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=533, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=419, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=417, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=434, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=707, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=568, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=532, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=417, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=416, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=431, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=705, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=565, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=0
