VMM=0, CKTPrunning=1, PDAC=40, XADC=551, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=354, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=314, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=252, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=420, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=501, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=404, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=376, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=356, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=317, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=254, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=421, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=508, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=409, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=381, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=552, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=357, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=317, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=253, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=421, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=504, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=407, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=382, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=554, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=356, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=316, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=254, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=423, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=507, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=405, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=378, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=552, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=354, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=313, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=252, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=423, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=504, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=407, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=377, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=552, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=357, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=316, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=252, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=422, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=503, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=405, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=378, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=355, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=315, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=250, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=421, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=503, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=404, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=379, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=203, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=150, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=221, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=180, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=202, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=226, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=210, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=149, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=221, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=181, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=202, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=223, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=207, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=180, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=152, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=221, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=182, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=203, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=226, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=209, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=180, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=152, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=223, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=179, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=205, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=223, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=210, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=180, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=149, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=222, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=180, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=200, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=221, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=209, MMFE8=0
