VMM=6, CKTPrunning=1, PDAC=40, XADC=214, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=206, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=187, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=182, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=193, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=172, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=189, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=186, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=193, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=212, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=229, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=199, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=198, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=209, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=221, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=214, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=205, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=185, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=187, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=168, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=192, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=174, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=187, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=186, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=164, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=213, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=232, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=201, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=197, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=210, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=223, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=208, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=182, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=185, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=192, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=158, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=165, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=188, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=183, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=166, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=192, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=167, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=231, MMFE8=0
