VMM=6, CKTPrunning=1, PDAC=40, XADC=379, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=446, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=681, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=500, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=457, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=380, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=444, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=681, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=505, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=463, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=463, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=378, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=446, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=681, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=503, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=452, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=463, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=378, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=444, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=678, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=500, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=464, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=461, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=380, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=443, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=679, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=506, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=455, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=464, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=457, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=380, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=449, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=211, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=234, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=211, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=171, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=189, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=208, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=234, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=151, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=212, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=172, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=192, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=206, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=234, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=153, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=212, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=173, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=195, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=162, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=212, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=161, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=236, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=173, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=193, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=204, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=160, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=235, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=214, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=172, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=194, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=163, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=207, MMFE8=0
