VMM=0, CKTPrunning=1, PDAC=40, XADC=577, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=533, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=460, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=479, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=409, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=353, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=567, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=401, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=574, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=530, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=460, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=477, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=411, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=361, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=567, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=403, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=576, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=532, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=459, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=475, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=408, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=367, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=570, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=403, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=573, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=530, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=460, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=478, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=412, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=370, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=574, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=407, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=577, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=532, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=460, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=479, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=409, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=353, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=566, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=405, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=575, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=534, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=460, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=476, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=409, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=356, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=568, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=405, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=577, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=536, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=463, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=478, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=413, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=357, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=570, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=407, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=575, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=533, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=462, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=480, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=410, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=355, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=565, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=403, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=575, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=532, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=458, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=474, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=410, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=353, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=565, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=406, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=576, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=534, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=464, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=477, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=411, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=355, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=566, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=406, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=574, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=533, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=464, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=477, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=410, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=355, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=566, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=402, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=575, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=534, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=460, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=478, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=412, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=355, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=568, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=405, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=575, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=535, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=462, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=479, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=411, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=356, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=566, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=404, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=572, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=530, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=459, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=480, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=413, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=357, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=567, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=405, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=576, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=532, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=461, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=479, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=414, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=369, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=575, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=408, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=199, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=235, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=149, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=1590, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=230, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=182, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=196, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=235, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=215, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=146, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=1278, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=228, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=180, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=196, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=234, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=148, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=147, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=1145, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=225, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=181, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=196, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=232, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=216, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=149, MMFE8=0
