VMM=0, CKTPrunning=1, PDAC=40, XADC=810, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=709, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=655, MMFE8=109
VMM=3, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=109
VMM=4, CKTPrunning=1, PDAC=40, XADC=527, MMFE8=109
VMM=5, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=109
VMM=6, CKTPrunning=1, PDAC=40, XADC=487, MMFE8=109
VMM=7, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=109
VMM=0, CKTPrunning=1, PDAC=40, XADC=807, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=708, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=655, MMFE8=109
VMM=3, CKTPrunning=1, PDAC=40, XADC=553, MMFE8=109
VMM=4, CKTPrunning=1, PDAC=40, XADC=527, MMFE8=109
VMM=5, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=109
VMM=6, CKTPrunning=1, PDAC=40, XADC=485, MMFE8=109
VMM=7, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=109
VMM=0, CKTPrunning=1, PDAC=40, XADC=809, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=709, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=657, MMFE8=109
VMM=3, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=109
VMM=4, CKTPrunning=1, PDAC=40, XADC=527, MMFE8=109
VMM=5, CKTPrunning=1, PDAC=40, XADC=553, MMFE8=109
VMM=6, CKTPrunning=1, PDAC=40, XADC=479, MMFE8=109
VMM=7, CKTPrunning=1, PDAC=40, XADC=544, MMFE8=109
VMM=0, CKTPrunning=1, PDAC=40, XADC=810, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=708, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=656, MMFE8=109
VMM=3, CKTPrunning=1, PDAC=40, XADC=552, MMFE8=109
VMM=4, CKTPrunning=1, PDAC=40, XADC=529, MMFE8=109
VMM=5, CKTPrunning=1, PDAC=40, XADC=551, MMFE8=109
VMM=6, CKTPrunning=1, PDAC=40, XADC=485, MMFE8=109
VMM=7, CKTPrunning=1, PDAC=40, XADC=546, MMFE8=109
VMM=0, CKTPrunning=1, PDAC=40, XADC=809, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=706, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=655, MMFE8=109
VMM=3, CKTPrunning=1, PDAC=40, XADC=553, MMFE8=109
VMM=4, CKTPrunning=1, PDAC=40, XADC=527, MMFE8=109
VMM=5, CKTPrunning=1, PDAC=40, XADC=552, MMFE8=109
VMM=6, CKTPrunning=1, PDAC=40, XADC=483, MMFE8=109
VMM=7, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=109
VMM=0, CKTPrunning=1, PDAC=40, XADC=808, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=707, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=654, MMFE8=109
VMM=3, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=109
VMM=4, CKTPrunning=1, PDAC=40, XADC=528, MMFE8=109
VMM=5, CKTPrunning=1, PDAC=40, XADC=551, MMFE8=109
VMM=6, CKTPrunning=1, PDAC=40, XADC=488, MMFE8=109
VMM=7, CKTPrunning=1, PDAC=40, XADC=547, MMFE8=109
VMM=0, CKTPrunning=1, PDAC=40, XADC=810, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=709, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=654, MMFE8=109
VMM=3, CKTPrunning=1, PDAC=40, XADC=550, MMFE8=109
VMM=4, CKTPrunning=1, PDAC=40, XADC=527, MMFE8=109
VMM=5, CKTPrunning=1, PDAC=40, XADC=551, MMFE8=109
VMM=6, CKTPrunning=1, PDAC=40, XADC=484, MMFE8=109
VMM=7, CKTPrunning=1, PDAC=40, XADC=546, MMFE8=109
VMM=0, CKTPrunning=1, PDAC=40, XADC=809, MMFE8=109
VMM=1, CKTPrunning=1, PDAC=40, XADC=709, MMFE8=109
VMM=2, CKTPrunning=1, PDAC=40, XADC=656, MMFE8=109
