VMM=6, CKTPrunning=1, PDAC=40, XADC=616, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=685, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=983, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=743, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=631, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=544, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=450, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=616, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=684, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=985, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=743, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=631, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=542, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=451, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=614, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=685, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=980, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=742, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=631, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=546, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=450, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=613, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=685, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=980, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=742, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=629, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=451, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=614, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=683, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=70, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=134, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=71, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=47, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=125, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=69, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=134, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=71, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=175, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=47, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=122, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=68, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=71, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=47, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=122, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=68, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=72, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=176, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=48, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=68, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=134, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=74, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=48, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=122, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=67, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=134, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=134, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=72, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=47, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=123, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=69, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=134, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=70, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=177, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=49, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=124, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=68, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=70, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=179, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=49, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=123, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=70, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
