VMM=0, CKTPrunning=1, PDAC=40, XADC=941, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=912, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=791, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=772, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=386, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=774, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=731, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=727, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=944, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=916, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=794, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=774, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=732, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=729, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=944, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=917, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=796, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=776, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=777, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=735, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=733, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=944, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=915, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=795, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=774, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=776, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=733, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=729, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=945, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=914, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=796, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=776, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=776, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=774, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=735, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=730, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=948, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=916, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=795, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=776, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=777, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=733, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=730, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=943, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=915, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=796, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=776, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=775, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=734, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=731, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=945, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=918, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=796, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=31, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=105, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=130, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=90, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=154, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=92, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=33, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=103, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=129, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=141, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=89, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=94, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=33, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=105, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=129, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=155, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=90, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=156, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=94, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=33, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=104, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=130, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=141, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=91, MMFE8=122
VMM=3, CKTPrunning=1, PDAC=40, XADC=157, MMFE8=122
VMM=4, CKTPrunning=1, PDAC=40, XADC=95, MMFE8=122
VMM=5, CKTPrunning=1, PDAC=40, XADC=33, MMFE8=122
VMM=6, CKTPrunning=1, PDAC=40, XADC=103, MMFE8=122
VMM=7, CKTPrunning=1, PDAC=40, XADC=131, MMFE8=122
VMM=0, CKTPrunning=1, PDAC=40, XADC=142, MMFE8=122
VMM=1, CKTPrunning=1, PDAC=40, XADC=159, MMFE8=122
VMM=2, CKTPrunning=1, PDAC=40, XADC=91, MMFE8=122
