VMM=0, CKTPrunning=1, PDAC=40, XADC=851, MMFE8=119
VMM=1, CKTPrunning=1, PDAC=40, XADC=786, MMFE8=119
VMM=2, CKTPrunning=1, PDAC=40, XADC=719, MMFE8=119
VMM=3, CKTPrunning=1, PDAC=40, XADC=735, MMFE8=119
VMM=4, CKTPrunning=1, PDAC=40, XADC=737, MMFE8=119
VMM=5, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
VMM=6, CKTPrunning=1, PDAC=40, XADC=713, MMFE8=119
VMM=7, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
VMM=0, CKTPrunning=1, PDAC=40, XADC=852, MMFE8=119
VMM=1, CKTPrunning=1, PDAC=40, XADC=789, MMFE8=119
VMM=2, CKTPrunning=1, PDAC=40, XADC=717, MMFE8=119
VMM=3, CKTPrunning=1, PDAC=40, XADC=734, MMFE8=119
VMM=4, CKTPrunning=1, PDAC=40, XADC=736, MMFE8=119
VMM=5, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
VMM=6, CKTPrunning=1, PDAC=40, XADC=713, MMFE8=119
VMM=7, CKTPrunning=1, PDAC=40, XADC=603, MMFE8=119
VMM=0, CKTPrunning=1, PDAC=40, XADC=851, MMFE8=119
VMM=1, CKTPrunning=1, PDAC=40, XADC=787, MMFE8=119
VMM=2, CKTPrunning=1, PDAC=40, XADC=717, MMFE8=119
VMM=3, CKTPrunning=1, PDAC=40, XADC=736, MMFE8=119
VMM=4, CKTPrunning=1, PDAC=40, XADC=736, MMFE8=119
VMM=5, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
VMM=6, CKTPrunning=1, PDAC=40, XADC=712, MMFE8=119
VMM=7, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
VMM=0, CKTPrunning=1, PDAC=40, XADC=854, MMFE8=119
VMM=1, CKTPrunning=1, PDAC=40, XADC=789, MMFE8=119
VMM=2, CKTPrunning=1, PDAC=40, XADC=721, MMFE8=119
VMM=3, CKTPrunning=1, PDAC=40, XADC=736, MMFE8=119
VMM=4, CKTPrunning=1, PDAC=40, XADC=740, MMFE8=119
VMM=5, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
VMM=6, CKTPrunning=1, PDAC=40, XADC=716, MMFE8=119
VMM=7, CKTPrunning=1, PDAC=40, XADC=604, MMFE8=119
VMM=0, CKTPrunning=1, PDAC=40, XADC=851, MMFE8=119
VMM=1, CKTPrunning=1, PDAC=40, XADC=788, MMFE8=119
VMM=2, CKTPrunning=1, PDAC=40, XADC=720, MMFE8=119
VMM=3, CKTPrunning=1, PDAC=40, XADC=736, MMFE8=119
VMM=4, CKTPrunning=1, PDAC=40, XADC=739, MMFE8=119
VMM=5, CKTPrunning=1, PDAC=40, XADC=603, MMFE8=119
VMM=6, CKTPrunning=1, PDAC=40, XADC=715, MMFE8=119
VMM=7, CKTPrunning=1, PDAC=40, XADC=602, MMFE8=119
VMM=0, CKTPrunning=1, PDAC=40, XADC=851, MMFE8=119
VMM=1, CKTPrunning=1, PDAC=40, XADC=788, MMFE8=119
VMM=2, CKTPrunning=1, PDAC=40, XADC=719, MMFE8=119
VMM=3, CKTPrunning=1, PDAC=40, XADC=735, MMFE8=119
VMM=4, CKTPrunning=1, PDAC=40, XADC=737, MMFE8=119
VMM=5, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
VMM=6, CKTPrunning=1, PDAC=40, XADC=714, MMFE8=119
VMM=7, CKTPrunning=1, PDAC=40, XADC=603, MMFE8=119
VMM=0, CKTPrunning=1, PDAC=40, XADC=852, MMFE8=119
VMM=1, CKTPrunning=1, PDAC=40, XADC=788, MMFE8=119
VMM=2, CKTPrunning=1, PDAC=40, XADC=717, MMFE8=119
VMM=3, CKTPrunning=1, PDAC=40, XADC=736, MMFE8=119
VMM=4, CKTPrunning=1, PDAC=40, XADC=738, MMFE8=119
VMM=5, CKTPrunning=1, PDAC=40, XADC=601, MMFE8=119
