MMFE8 VMM CH  Gain      Pedestal  (TDO = time*G + P)
105   3   37  1.35e+00  2.61e+01  
105   3   38  1.35e+00  2.32e+01  
105   3   39  1.63e+00  2.76e+01  
105   3   40  1.52e+00  2.10e+01  
105   3   41  1.61e+00  1.39e+01  
105   3   42  1.75e+00  1.81e+01  
105   3   43  1.58e+00  1.42e+01  
105   3   44  1.45e+00  1.38e+01  
105   3   45  1.55e+00  1.16e+01  
105   3   46  1.66e+00  1.92e+01  
105   3   47  1.51e+00  1.31e+01  
105   3   48  1.61e+00  1.49e+01  
105   3   49  1.84e+00  7.02e+00  
105   3   50  1.57e+00  1.23e+01  
105   3   51  1.68e+00  1.20e+01  
105   3   52  1.66e+00  1.13e+01  
105   3   53  1.36e+00  1.30e+01  
105   3   54  1.72e+00  1.25e+01  
105   3   55  1.61e+00  1.18e+01  
105   3   56  1.63e+00  1.37e+01  
105   3   57  1.78e+00  1.77e+01  
105   3   58  1.96e+00  2.15e+01  
105   3   59  1.53e+00  1.29e+01  
105   3   60  1.70e+00  1.87e+01  
105   3   61  1.59e+00  1.61e+01  
105   3   62  1.47e+00  1.46e+01  
105   3   63  1.55e+00  1.56e+01  
105   3   64  1.66e+00  1.32e+01  
105   4   6   1.39e+00  1.66e+01  
105   4   7   1.31e+00  1.16e+01  
105   4   9   1.39e+00  1.27e+01  
105   4   10  1.84e+00  7.98e+00  
105   4   12  1.58e+00  1.33e+01  
105   4   13  1.34e+00  1.53e+01  
105   4   14  1.19e+00  1.51e+01  
105   4   15  1.30e+00  1.57e+01  
105   4   16  1.47e+00  1.57e+01  
105   4   17  1.43e+00  1.91e+01  
105   4   18  1.21e+00  1.99e+01  
105   4   20  1.38e+00  2.28e+01  
105   4   21  1.48e+00  1.95e+01  
105   4   22  1.16e+00  1.75e+01  
105   4   23  1.35e+00  2.01e+01  
105   4   24  1.30e+00  1.77e+01  
105   4   25  1.90e-01  3.76e+01  
105   4   26  1.36e+00  2.50e+01  
105   4   27  1.29e+00  2.09e+01  
105   4   28  1.21e+00  2.39e+01  
105   4   29  1.13e+00  1.78e+01  
105   4   30  1.09e+00  2.53e+01  
105   4   31  1.19e+00  2.51e+01  
105   4   32  1.30e+00  2.88e+01  
105   4   33  1.30e+00  2.58e+01  
105   4   34  1.38e+00  1.67e+01  
105   4   35  1.49e+00  2.14e+01  
105   4   36  1.14e+00  2.48e+01  
105   4   37  1.40e+00  2.25e+01  
105   4   38  1.12e+00  2.10e+01  
105   4   39  1.45e+00  1.38e+01  
105   4   40  1.32e+00  1.55e+01  
105   4   41  1.28e+00  1.40e+01  
105   4   42  1.16e+00  1.35e+01  
105   4   43  1.22e+00  1.37e+01  
105   4   44  1.33e+00  1.54e+01  
105   4   46  1.25e+00  9.31e+00  
105   4   47  1.05e+00  1.09e+01  
105   4   48  1.30e+00  1.08e+01  
105   4   49  1.29e+00  9.92e+00  
105   4   50  1.44e+00  1.10e+01  
105   4   51  1.33e+00  1.24e+01  
105   4   52  1.42e+00  1.23e+01  
105   4   53  1.16e+00  1.15e+01  
105   4   54  1.11e+00  1.22e+01  
105   4   55  1.43e+00  1.41e+01  
105   4   56  1.21e+00  1.48e+01  
105   4   57  1.22e+00  1.18e+01  
105   4   58  1.24e+00  1.15e+01  
105   4   59  1.22e+00  1.18e+01  
105   4   60  1.37e+00  9.88e+00  
105   4   62  1.37e+00  9.86e+00  
105   4   63  1.15e+00  1.26e+01  
105   4   64  1.41e+00  1.14e+01  
105   5   3   1.26e+00  1.03e+01  
105   5   4   1.34e+00  1.52e+01  
105   5   5   1.24e+00  1.55e+01  
105   5   6   1.37e+00  1.49e+01  
105   5   7   1.43e+00  1.31e+01  
105   5   8   1.51e+00  1.41e+01  
105   5   9   1.47e+00  1.36e+01  
105   5   10  1.51e+00  1.32e+01  
105   5   11  1.52e+00  9.97e+00  
105   5   13  1.21e+00  2.59e+01  
105   5   14  1.38e+00  1.47e+01  
105   5   15  1.26e+00  8.20e+00  
105   5   16  1.28e+00  7.97e+00  
105   5   17  1.10e+00  1.03e+01  
105   5   20  1.54e+00  4.75e+00  
105   5   21  1.42e+00  1.02e+01  
105   5   23  1.64e+00  1.45e+01  
105   5   24  1.62e+00  1.17e+01  
105   5   25  1.12e+00  1.00e+01  
105   5   26  1.23e+00  1.06e+01  
105   5   27  1.09e+00  8.38e+00  
105   5   28  1.20e+00  1.10e+01  
105   5   29  1.32e+00  1.55e+01  
105   5   30  1.22e+00  1.47e+01  
105   5   31  1.63e+00  1.16e+01  
105   5   32  1.69e+00  6.87e+00  
105   5   33  1.43e+00  1.32e+01  
105   5   34  1.62e+00  7.76e+00  
105   5   35  1.41e+00  1.03e+01  
105   5   36  1.51e+00  9.11e+00  
105   5   37  1.50e+00  1.32e+01  
105   5   38  1.56e+00  1.55e+01  
105   5   39  1.53e+00  1.49e+01  
105   5   40  1.57e+00  1.14e+01  
105   5   41  1.31e+00  1.26e+01  
105   5   42  1.57e+00  1.03e+01  
105   5   43  1.59e+00  9.18e+00  
105   5   44  1.25e+00  1.14e+01  
105   5   45  1.42e+00  1.12e+01  
105   5   46  1.43e+00  1.02e+01  
105   5   47  1.48e+00  1.35e+01  
105   5   48  1.33e+00  7.37e+00  
105   5   49  1.36e+00  9.04e+00  
105   5   50  1.31e+00  1.66e+01  
105   5   51  1.45e+00  1.48e+01  
105   5   52  1.43e+00  1.41e+01  
105   5   53  1.50e+00  1.43e+01  
105   5   54  1.23e+00  1.66e+01  
105   5   55  1.54e+00  1.28e+01  
105   5   56  1.27e+00  1.41e+01  
105   5   57  1.34e+00  1.53e+01  
105   5   58  1.49e+00  1.33e+01  
105   5   59  1.56e+00  1.24e+01  
105   5   60  1.57e+00  1.74e+01  
105   5   61  1.61e+00  1.69e+01  
105   5   62  1.59e+00  1.81e+01  
105   5   63  1.59e+00  1.81e+01  
105   5   64  1.50e+00  2.02e+01  
105   6   3   1.36e+00  1.90e+01  
105   6   4   1.70e+00  1.87e+01  
105   6   5   1.53e+00  1.29e+01  
105   6   6   1.52e+00  2.00e+01  
105   6   7   1.48e+00  1.35e+01  
105   6   8   1.18e+00  1.03e+01  
105   6   9   1.50e+00  1.53e+01  
105   6   10  1.52e+00  1.50e+01  
105   6   11  1.75e+00  1.41e+01  
105   6   13  1.11e+00  1.32e+01  
105   6   14  1.38e+00  1.48e+01  
105   6   15  1.16e+00  1.75e+01  
105   6   16  1.66e+00  1.32e+01  
105   6   17  1.01e+00  1.94e+01  
105   6   18  1.33e+00  2.03e+01  
105   6   19  1.42e+00  2.42e+01  
105   6   20  1.10e+00  2.32e+01  
105   6   21  1.25e+00  2.14e+01  
105   6   23  1.27e+00  1.91e+01  
105   6   24  9.74e-01  1.98e+01  
105   6   25  1.16e+00  2.05e+01  
105   6   26  1.32e+00  2.05e+01  
105   6   27  1.27e+00  1.91e+01  
105   6   28  1.21e+00  2.29e+01  
105   6   29  1.34e+00  1.53e+01  
105   6   30  1.23e+00  2.36e+01  
105   6   31  1.32e+00  1.75e+01  
105   6   32  1.20e+00  2.80e+01  
105   6   33  1.17e+00  2.54e+01  
105   6   34  1.32e+00  1.54e+01  
105   6   35  1.44e+00  8.96e+00  
105   6   36  1.22e+00  1.68e+01  
105   6   37  1.22e+00  1.08e+01  
105   6   38  1.04e+00  1.30e+01  
105   6   39  1.17e+00  1.14e+01  
105   6   40  1.03e+00  1.11e+01  
105   6   41  1.35e+00  1.22e+01  
105   6   42  1.25e+00  1.23e+01  
105   6   43  4.06e-01  2.39e+01  
105   6   44  1.36e+00  9.94e+00  
105   6   45  1.39e+00  7.67e+00  
105   6   46  1.34e+00  1.43e+01  
105   6   47  1.41e+00  1.34e+01  
105   6   48  1.23e+00  1.66e+01  
105   6   49  1.08e+00  1.25e+01  
105   6   50  1.26e+00  1.32e+01  
105   6   51  1.10e+00  1.23e+01  
105   6   52  1.23e+00  9.60e+00  
105   6   53  1.22e+00  9.78e+00  
105   6   54  1.47e+00  1.46e+01  
105   6   55  1.46e+00  9.69e+00  
105   6   56  1.42e+00  1.32e+01  
105   6   57  1.34e+00  1.22e+01  
105   6   58  1.54e+00  1.07e+01  
105   6   59  1.09e+00  1.04e+01  
105   6   60  1.40e+00  1.45e+01  
105   6   61  1.32e+00  1.55e+01  
105   6   62  1.49e+00  1.04e+01  
105   6   63  1.44e+00  1.10e+01  
105   7   4   1.28e+00  2.30e+01  
105   7   5   1.52e+00  2.10e+01  
105   7   6   1.16e+00  2.45e+01  
105   7   7   1.48e+00  2.85e+01  
105   7   8   1.22e+00  1.98e+01  
105   7   9   1.35e+00  2.52e+01  
105   7   10  1.55e+00  2.06e+01  
105   7   12  1.59e+00  2.02e+01  
105   7   13  1.24e+00  2.05e+01  
105   7   14  1.30e+00  2.38e+01  
105   7   15  1.23e+00  1.66e+01  
105   7   16  1.25e+00  2.24e+01  
105   7   17  1.26e+00  2.42e+01  
105   7   18  1.39e+00  2.26e+01  
105   7   19  1.42e+00  2.03e+01  
105   7   20  1.12e+00  2.60e+01  
105   7   21  1.38e+00  2.17e+01  
105   7   22  1.35e+00  2.02e+01  
105   7   23  1.47e+00  1.77e+01  
105   7   24  1.58e+00  1.83e+01  
105   7   25  6.40e-01  3.00e+01  
105   7   26  1.30e+00  2.37e+01  
105   7   27  1.43e+00  2.22e+01  
105   7   28  1.39e+00  2.16e+01  
105   7   29  1.54e+00  2.08e+01  
105   7   30  1.14e+00  2.58e+01  
105   7   31  1.25e+00  3.14e+01  
105   7   32  1.37e+00  2.29e+01  
105   7   33  1.39e+00  1.77e+01  
105   7   34  1.25e+00  2.14e+01  
105   7   35  1.12e+00  2.20e+01  
105   7   36  1.26e+00  2.42e+01  
105   7   37  1.17e+00  2.53e+01  
105   7   38  1.56e+00  2.65e+01  
105   7   39  1.18e+00  1.73e+01  
105   7   40  1.31e+00  1.86e+01  
105   7   41  1.05e+00  2.49e+01  
105   7   42  1.49e+00  2.14e+01  
105   7   43  1.46e+00  2.17e+01  
105   7   44  1.02e+00  2.23e+01  
105   7   45  1.35e+00  2.31e+01  
105   7   46  1.46e+00  1.98e+01  
105   7   47  1.60e+00  1.90e+01  
105   7   48  1.44e+00  2.20e+01  
105   7   49  1.46e+00  2.17e+01  
105   7   50  1.52e+00  1.21e+01  
105   7   51  1.30e+00  8.70e+00  
105   7   52  1.23e+00  8.64e+00  
105   7   53  3.16e-02  7.16e+01  
105   7   54  1.34e+00  8.20e+00  
105   7   55  1.50e+00  1.03e+01  
105   7   57  1.42e+00  1.73e+01  
105   7   58  1.28e+00  9.05e+00  
105   7   59  1.55e+00  6.60e+00  
105   7   60  1.37e+00  1.49e+01  
105   7   61  1.35e+00  1.11e+01  
105   7   62  1.51e+00  9.18e+00  
105   7   63  1.43e+00  1.01e+01  
105   7   64  1.41e+00  7.33e+00  
106   0   1   1.39e+00  2.16e+01  
106   0   2   1.26e+00  2.13e+01  
106   0   4   1.17e+00  1.74e+01  
106   0   5   1.24e+00  1.45e+01  
106   0   6   1.46e+00  1.78e+01  
106   0   7   1.49e+00  1.44e+01  
106   0   8   1.45e+00  1.39e+01  
106   0   9   1.37e+00  1.38e+01  
106   0   10  1.32e+00  1.14e+01  
106   0   11  1.41e+00  1.64e+01  
106   0   12  1.27e+00  1.41e+01  
106   0   13  1.12e+00  1.40e+01  
106   0   14  1.22e+00  1.67e+01  
106   0   15  1.32e+00  1.05e+01  
106   0   16  1.29e+00  1.29e+01  
106   0   17  1.41e+00  2.03e+01  
106   0   18  1.19e+00  1.71e+01  
106   0   19  1.33e+00  1.64e+01  
106   0   20  1.27e+00  1.81e+01  
106   0   21  9.95e-01  1.96e+01  
106   0   22  1.12e+00  2.60e+01  
106   0   23  1.13e+00  2.08e+01  
106   0   24  1.46e+00  2.18e+01  
106   0   25  9.56e-01  1.60e+01  
106   0   26  1.26e+00  2.32e+01  
106   0   27  1.10e+00  1.72e+01  
106   0   28  1.04e+00  2.40e+01  
106   0   29  9.41e-01  2.02e+01  
106   0   30  2.34e+00  5.80e+00  
106   0   31  1.43e+00  2.11e+01  
106   0   32  1.14e+00  2.17e+01  
106   0   33  1.26e+00  1.63e+01  
106   0   34  9.68e-01  1.99e+01  
106   0   35  1.24e+00  2.15e+01  
106   0   36  1.28e+00  1.90e+01  
106   0   37  9.40e-01  1.43e+01  
106   0   38  1.09e+00  1.84e+01  
106   0   39  1.25e+00  2.34e+01  
106   0   40  1.87e+00  8.65e+00  
106   0   41  1.30e+00  1.58e+01  
106   0   42  9.94e-01  1.26e+01  
106   0   43  1.16e+00  9.44e+00  
106   0   44  1.27e+00  1.31e+01  
106   0   45  1.32e+00  9.47e+00  
106   0   46  1.26e+00  8.26e+00  
106   0   47  1.08e+00  1.45e+01  
106   0   48  1.28e+00  1.60e+01  
106   0   49  1.51e+00  6.11e+00  
106   0   50  1.17e+00  1.74e+01  
106   0   51  1.23e+00  1.06e+01  
106   0   52  1.31e+00  7.62e+00  
106   0   53  1.11e+00  1.01e+01  
106   0   54  1.26e+00  1.32e+01  
106   0   55  1.02e+00  1.62e+01  
106   0   56  1.20e+00  1.50e+01  
106   0   57  1.40e+00  1.44e+01  
106   0   58  1.16e+00  1.46e+01  
106   0   59  1.02e+00  9.25e+00  
106   0   60  1.07e+00  1.16e+01  
106   0   61  1.23e+00  1.47e+01  
106   0   62  1.39e+00  1.57e+01  
106   0   63  1.40e+00  1.55e+01  
106   0   64  1.48e+00  1.45e+01  
106   1   1   1.59e+00  1.62e+01  
106   1   2   1.61e+00  1.79e+01  
106   1   3   1.39e+00  1.46e+01  
106   1   5   1.65e+00  1.64e+01  
106   1   6   1.13e+00  1.99e+01  
106   1   7   1.63e+00  1.96e+01  
106   1   8   1.50e+00  1.13e+01  
106   1   9   1.57e+00  9.32e+00  
106   1   10  1.73e+00  1.64e+01  
106   1   11  1.30e+00  1.58e+01  
106   1   12  1.37e+00  1.89e+01  
106   1   13  1.17e+00  2.64e+01  
106   1   14  1.35e+00  1.92e+01  
106   1   15  1.30e+00  2.37e+01  
106   1   16  1.41e+00  2.23e+01  
106   1   17  1.69e+00  1.88e+01  
106   1   18  1.67e+00  2.22e+01  
106   1   19  1.32e+00  2.45e+01  
106   1   20  1.47e+00  2.17e+01  
106   1   21  1.49e+00  2.44e+01  
106   1   22  1.54e+00  2.07e+01  
106   1   23  1.39e+00  2.86e+01  
106   1   24  1.21e+00  2.79e+01  
106   1   25  1.44e+00  2.50e+01  
106   1   26  1.32e+00  2.35e+01  
106   1   27  1.52e+00  2.00e+01  
106   1   28  1.37e+00  2.39e+01  
106   1   29  1.58e+00  2.53e+01  
106   1   30  1.49e+00  2.14e+01  
106   1   31  1.52e+00  2.20e+01  
106   1   32  1.42e+00  2.82e+01  
106   1   33  1.28e+00  3.10e+01  
106   1   34  1.53e+00  2.09e+01  
106   1   35  1.51e+00  2.81e+01  
106   1   36  1.25e+00  3.14e+01  
106   1   37  1.42e+00  2.23e+01  
106   1   38  1.51e+00  2.31e+01  
106   1   39  1.53e+00  2.09e+01  
106   1   40  1.38e+00  2.77e+01  
106   1   41  1.39e+00  2.66e+01  
106   1   42  1.26e+00  2.42e+01  
106   1   43  1.73e+00  2.54e+01  
106   1   44  1.35e+00  2.52e+01  
106   1   45  1.39e+00  2.26e+01  
106   1   48  1.33e+00  2.24e+01  
106   1   49  1.41e+00  2.44e+01  
106   1   50  1.56e+00  2.15e+01  
106   1   51  1.37e+00  2.29e+01  
106   1   52  1.52e+00  2.10e+01  
106   1   53  1.49e+00  2.13e+01  
106   1   54  1.49e+00  2.14e+01  
106   1   55  1.36e+00  2.30e+01  
106   1   56  2.05e+00  1.93e+01  
106   1   57  1.60e+00  2.29e+01  
106   1   58  1.58e+00  2.83e+01  
106   1   59  1.49e+00  2.13e+01  
106   1   60  1.75e+00  2.62e+01  
106   1   61  1.49e+00  2.84e+01  
106   1   62  1.50e+00  2.63e+01  
106   1   63  1.32e+00  2.55e+01  
106   1   64  1.65e+00  2.24e+01  
106   2   1   1.40e+00  3.45e+01  
106   2   2   1.55e+00  2.26e+01  
106   2   4   1.43e+00  2.61e+01  
106   2   8   1.30e+00  3.17e+01  
106   2   9   1.61e+00  3.09e+01  
106   2   12  1.60e+00  2.79e+01  
106   2   14  1.47e+00  2.97e+01  
106   2   15  1.42e+00  2.62e+01  
106   2   16  1.31e+00  2.36e+01  
106   2   17  1.30e+00  2.38e+01  
106   2   18  1.16e+00  2.55e+01  
106   2   19  1.24e+00  2.65e+01  
106   2   21  1.17e+00  3.33e+01  
106   2   23  1.30e+00  2.37e+01  
106   2   24  1.36e+00  2.30e+01  
106   2   25  1.22e+00  2.68e+01  
106   2   27  1.48e+00  2.55e+01  
106   2   30  1.28e+00  2.30e+01  
106   2   31  9.71e-01  3.09e+01  
106   2   32  1.42e+00  3.03e+01  
106   2   33  1.10e+00  2.92e+01  
106   2   35  1.61e+00  2.99e+01  
106   2   36  1.73e+00  2.64e+01  
106   2   38  1.09e+00  3.04e+01  
106   2   39  1.16e+00  3.35e+01  
106   2   40  8.85e-01  3.29e+01  
106   2   41  1.33e+00  2.54e+01  
106   2   42  1.18e+00  2.53e+01  
106   2   43  1.28e+00  2.80e+01  
106   2   44  1.56e+00  3.36e+01  
106   2   45  1.07e+00  2.66e+01  
106   2   46  1.20e+00  2.90e+01  
106   2   47  1.50e+00  2.62e+01  
106   2   48  1.50e+00  2.12e+01  
106   2   49  1.41e+00  2.44e+01  
106   2   50  1.45e+00  2.19e+01  
106   2   51  1.72e+00  1.85e+01  
106   2   52  1.37e+00  1.58e+01  
106   2   53  1.21e+00  2.59e+01  
106   2   54  1.56e+00  1.45e+01  
106   2   55  1.48e+00  2.15e+01  
106   2   56  1.51e+00  1.31e+01  
106   2   58  1.41e+00  1.74e+01  
106   2   59  1.57e+00  1.34e+01  
106   2   60  1.27e+00  2.02e+01  
106   2   61  1.51e+00  2.11e+01  
106   2   62  1.41e+00  2.14e+01  
106   2   63  1.25e+00  2.04e+01  
106   2   64  8.67e-01  2.92e+01  
106   3   1   1.47e+00  8.67e+00  
106   3   2   1.57e+00  1.73e+01  
106   3   3   1.46e+00  8.72e+00  
106   3   4   1.58e+00  1.43e+01  
106   3   5   1.31e+00  1.56e+01  
106   3   6   1.42e+00  1.02e+01  
106   3   7   1.19e+00  1.31e+01  
106   3   8   9.96e-01  1.16e+01  
106   3   9   1.26e+00  1.93e+01  
106   3   10  1.26e+00  1.32e+01  
106   3   11  1.50e+00  1.22e+01  
106   3   12  1.38e+00  1.47e+01  
106   3   13  1.19e+00  2.01e+01  
106   3   14  1.27e+00  1.71e+01  
106   3   15  1.40e+00  1.05e+01  
106   3   16  1.18e+00  1.53e+01  
106   3   17  1.23e+00  1.26e+01  
106   3   18  1.57e+00  1.23e+01  
106   3   19  1.43e+00  1.41e+01  
106   3   20  1.34e+00  1.52e+01  
106   3   21  1.18e+00  9.19e+00  
106   3   22  1.28e+00  1.09e+01  
106   3   23  1.34e+00  1.22e+01  
106   3   24  1.61e+00  1.09e+01  
106   3   25  1.42e+00  1.42e+01  
106   3   26  1.57e+00  1.23e+01  
106   3   27  1.10e+00  1.02e+01  
106   3   28  1.33e+00  1.34e+01  
106   3   30  9.20e-01  1.35e+01  
106   3   31  1.55e+00  9.67e+00  
106   3   32  1.35e+00  8.14e+00  
106   3   33  1.42e+00  1.33e+01  
106   3   34  1.19e+00  1.32e+01  
106   3   35  1.11e+00  1.82e+01  
106   3   36  1.34e+00  8.28e+00  
106   3   37  1.57e+00  1.24e+01  
106   3   38  1.02e+00  1.43e+01  
106   3   39  1.44e+00  5.96e+00  
106   3   40  1.51e+00  8.15e+00  
106   3   41  1.12e+00  1.30e+01  
106   3   42  1.53e+00  8.87e+00  
106   3   43  1.46e+00  8.75e+00  
106   3   44  1.69e+00  1.19e+01  
106   3   45  1.58e+00  9.20e+00  
106   3   46  1.42e+00  1.42e+01  
106   3   47  1.51e+00  8.08e+00  
106   3   48  1.15e+00  9.61e+00  
106   3   49  1.36e+00  1.09e+01  
106   3   50  1.59e+00  1.42e+01  
106   3   51  1.45e+00  1.39e+01  
106   3   52  1.43e+00  1.01e+01  
106   3   53  1.35e+00  1.22e+01  
106   3   54  1.38e+00  1.18e+01  
106   3   55  1.38e+00  1.38e+01  
106   3   56  1.37e+00  1.29e+01  
106   3   57  1.32e+00  1.24e+01  
106   3   58  1.13e+00  1.09e+01  
106   3   59  1.41e+00  1.44e+01  
106   3   60  1.59e+00  1.22e+01  
106   3   61  1.53e+00  1.09e+01  
106   3   62  1.38e+00  1.37e+01  
106   3   63  1.22e+00  8.76e+00  
106   3   64  1.55e+00  1.26e+01  
106   4   1   1.55e+00  9.57e+00  
106   4   2   1.48e+00  1.05e+01  
106   4   3   1.60e+00  1.19e+01  
106   4   4   1.52e+00  1.30e+01  
106   4   5   1.35e+00  7.09e+00  
106   4   6   1.39e+00  1.56e+01  
106   4   7   1.22e+00  1.68e+01  
106   4   8   1.31e+00  1.57e+01  
106   4   9   1.52e+00  1.30e+01  
106   4   10  1.31e+00  1.57e+01  
106   4   11  1.10e+00  1.32e+01  
106   4   12  1.12e+00  1.01e+01  
106   4   13  1.39e+00  1.17e+01  
106   4   14  1.58e+00  1.13e+01  
106   4   15  1.55e+00  1.26e+01  
106   4   16  1.21e+00  9.86e+00  
106   4   17  1.48e+00  1.05e+01  
106   4   18  1.40e+00  1.75e+01  
106   4   19  1.34e+00  1.12e+01  
106   4   20  1.58e+00  1.12e+01  
106   4   21  1.39e+00  6.64e+00  
106   4   22  1.32e+00  7.56e+00  
106   4   23  1.25e+00  9.41e+00  
106   4   24  1.50e+00  1.32e+01  
106   4   25  1.57e+00  1.23e+01  
106   4   26  1.34e+00  7.31e+00  
106   4   27  1.43e+00  1.11e+01  
106   4   28  1.51e+00  5.09e+00  
106   4   29  1.70e+00  1.08e+01  
106   4   30  1.35e+00  8.10e+00  
106   4   31  1.35e+00  7.12e+00  
106   4   32  1.52e+00  1.40e+01  
106   4   33  1.46e+00  5.79e+00  
106   4   34  1.35e+00  7.16e+00  
106   4   35  1.42e+00  7.20e+00  
106   4   36  1.52e+00  5.00e+00  
106   4   37  1.39e+00  9.63e+00  
106   4   38  1.34e+00  1.03e+01  
106   4   39  1.48e+00  9.53e+00  
106   4   40  1.55e+00  1.26e+01  
106   4   41  1.54e+00  1.27e+01  
106   4   42  1.53e+00  1.29e+01  
106   4   43  1.33e+00  7.40e+00  
106   4   44  1.37e+00  7.86e+00  
106   4   45  1.53e+00  1.29e+01  
106   4   46  1.37e+00  1.19e+01  
106   4   47  1.28e+00  9.04e+00  
106   4   48  1.48e+00  1.05e+01  
106   4   50  1.46e+00  1.37e+01  
106   4   51  1.58e+00  1.43e+01  
106   4   52  1.40e+00  1.45e+01  
106   4   53  1.64e+00  1.15e+01  
106   4   54  1.48e+00  1.15e+01  
106   4   55  1.23e+00  1.36e+01  
106   4   56  1.39e+00  1.36e+01  
106   4   57  1.74e+00  1.52e+01  
106   4   58  1.44e+00  1.20e+01  
106   4   59  1.90e+00  1.43e+01  
106   4   60  1.53e+00  9.82e+00  
106   4   61  1.47e+00  1.06e+01  
106   4   63  1.46e+00  1.38e+01  
106   4   64  1.83e+00  1.21e+01  
106   5   1   1.42e+00  1.52e+01  
106   5   2   1.46e+00  1.37e+01  
106   5   3   1.59e+00  1.51e+01  
106   5   4   1.61e+00  1.98e+01  
106   5   5   1.38e+00  1.17e+01  
106   5   6   1.42e+00  1.53e+01  
106   5   7   1.45e+00  1.69e+01  
106   5   8   1.37e+00  1.48e+01  
106   5   9   1.38e+00  1.38e+01  
106   5   10  1.27e+00  1.41e+01  
106   5   11  1.39e+00  1.06e+01  
106   5   12  1.06e+00  1.47e+01  
106   5   13  1.22e+00  1.88e+01  
106   5   14  1.58e+00  1.13e+01  
106   5   15  1.43e+00  1.31e+01  
106   5   16  1.28e+00  1.20e+01  
106   5   17  1.37e+00  1.68e+01  
106   5   18  1.40e+00  8.49e+00  
106   5   19  1.57e+00  1.03e+01  
106   5   20  1.42e+00  1.43e+01  
106   5   21  9.87e-01  1.57e+01  
106   5   22  1.50e+00  1.33e+01  
106   5   23  1.55e+00  2.07e+01  
106   5   24  1.37e+00  1.88e+01  
106   5   25  1.31e+00  2.36e+01  
106   5   26  9.47e-01  2.02e+01  
106   5   27  1.46e+00  1.77e+01  
106   5   28  1.48e+00  2.16e+01  
106   5   29  1.40e+00  1.95e+01  
106   5   30  1.65e+00  2.34e+01  
106   5   31  1.16e+00  1.25e+01  
106   5   32  1.41e+00  2.23e+01  
106   5   33  1.49e+00  1.34e+01  
106   5   34  1.54e+00  1.57e+01  
106   5   35  1.48e+00  2.14e+01  
106   5   36  1.55e+00  2.06e+01  
106   5   37  1.42e+00  2.23e+01  
106   5   38  6.34e-01  3.11e+01  
106   5   39  1.54e+00  1.77e+01  
106   5   40  1.70e+00  1.88e+01  
106   5   41  1.51e+00  1.81e+01  
106   5   42  1.32e+00  1.75e+01  
106   5   43  1.64e+00  1.95e+01  
106   5   44  1.30e+00  2.37e+01  
106   5   45  1.44e+00  1.80e+01  
106   5   46  1.59e+00  1.32e+01  
106   5   47  1.45e+00  1.79e+01  
106   5   48  1.50e+00  2.22e+01  
106   5   49  1.54e+00  1.98e+01  
106   5   50  1.73e+00  2.14e+01  
106   5   51  1.54e+00  1.77e+01  
106   5   52  1.52e+00  2.10e+01  
106   5   53  1.55e+00  2.67e+01  
106   5   54  1.45e+00  2.19e+01  
106   5   56  1.44e+00  1.80e+01  
106   5   57  1.45e+00  2.69e+01  
106   5   58  1.64e+00  1.95e+01  
106   5   59  1.48e+00  2.05e+01  
106   5   60  1.51e+00  2.41e+01  
106   5   61  1.42e+00  2.22e+01  
106   5   62  1.53e+00  2.08e+01  
106   5   63  1.64e+00  2.05e+01  
106   5   64  1.54e+00  1.97e+01  
106   6   1   1.44e+00  1.70e+01  
106   6   4   1.66e+00  1.62e+01  
106   6   5   1.43e+00  1.91e+01  
106   6   6   1.57e+00  1.74e+01  
106   6   7   1.43e+00  1.41e+01  
106   6   8   1.65e+00  1.53e+01  
106   6   9   1.47e+00  2.16e+01  
106   6   10  1.36e+00  7.97e+00  
106   6   11  1.35e+00  1.71e+01  
106   6   12  1.79e+00  1.16e+01  
106   6   13  1.31e+00  1.76e+01  
106   6   14  1.96e+00  1.25e+01  
106   6   15  1.49e+00  1.34e+01  
106   6   16  1.58e+00  1.53e+01  
106   6   17  1.65e+00  1.44e+01  
106   6   18  1.41e+00  3.84e+01  
106   6   19  1.41e+00  1.24e+01  
106   6   20  1.31e+00  2.16e+01  
106   6   21  1.20e+00  1.39e+01  
106   6   22  1.58e+00  1.42e+01  
106   6   23  1.61e+00  1.19e+01  
106   6   24  1.52e+00  1.61e+01  
106   6   25  1.49e+00  1.24e+01  
106   6   27  1.27e+00  1.52e+01  
106   6   28  1.64e+00  1.95e+01  
106   6   29  1.47e+00  1.36e+01  
106   6   30  1.48e+00  1.65e+01  
106   6   31  1.42e+00  1.52e+01  
106   6   32  1.64e+00  7.48e+00  
106   6   33  1.55e+00  1.86e+01  
106   6   34  1.61e+00  1.29e+01  
106   6   35  1.25e+00  1.64e+01  
106   6   36  1.49e+00  1.34e+01  
106   6   37  1.55e+00  1.56e+01  
106   6   38  1.32e+00  1.25e+01  
106   6   39  1.30e+00  1.37e+01  
106   6   40  1.41e+00  1.44e+01  
106   6   41  1.45e+00  1.38e+01  
106   6   42  1.41e+00  2.24e+01  
106   6   43  1.73e+00  1.83e+01  
106   6   44  1.52e+00  1.50e+01  
106   6   45  1.64e+00  9.46e+00  
106   6   46  1.50e+00  1.93e+01  
106   6   47  1.58e+00  1.22e+01  
106   6   48  1.68e+00  1.40e+01  
106   6   50  1.72e+00  -8.50e+00 
