MMFE8 VMM CH  Gain      Pedestal  (PDO = Q*G + P)
105   3   13  9.66e+00  3.73e+01  
105   3   15  8.84e+00  7.91e+00  
105   3   16  9.48e+00  9.44e+00  
105   3   17  9.18e+00  6.48e+00  
105   3   18  9.71e+00  9.11e+00  
105   3   19  8.93e+00  1.36e+00  
105   3   20  9.01e+00  -6.94e+00 
105   3   21  9.09e+00  6.80e+00  
105   3   22  1.06e+01  3.42e+01  
105   3   23  9.47e+00  7.28e+00  
105   3   24  9.70e+00  -4.28e+00 
105   3   25  9.32e+00  4.73e+00  
105   3   26  1.02e+01  5.41e+00  
105   3   27  9.68e+00  4.56e-01  
105   3   28  1.88e+01  -1.93e+02 
105   3   29  1.05e+01  -3.41e+00 
105   3   30  1.03e+01  -3.23e+00 
105   3   32  1.00e+01  -7.74e-01 
105   3   33  1.03e+01  3.41e+00  
105   3   34  9.18e+00  3.05e+00  
105   3   35  9.62e+00  4.15e+00  
105   3   36  9.32e+00  3.63e+00  
105   3   37  1.01e+01  1.10e+01  
105   3   38  1.04e+01  -5.61e+00 
105   3   39  5.93e+00  -1.24e+01 
105   3   40  1.01e+01  -6.16e+00 
105   3   41  1.93e+03  8.40e+06  
105   3   42  9.89e+00  1.56e+01  
105   3   43  1.17e+01  -1.05e+01 
105   3   44  1.03e+01  1.35e+01  
105   3   45  1.00e+01  3.44e+00  
105   3   46  1.02e+01  3.21e+01  
105   3   47  9.87e+00  9.25e+00  
105   3   48  1.05e+01  1.50e+01  
105   3   49  9.56e+00  1.16e+01  
105   3   50  9.45e+00  5.09e+00  
105   3   51  9.08e+00  2.65e+00  
105   3   52  9.39e+00  1.16e+01  
105   3   53  1.06e+01  2.27e+01  
105   3   54  1.00e+01  1.73e+01  
105   3   55  8.94e+00  1.06e+01  
105   3   56  9.09e+00  4.56e+01  
105   3   57  9.92e+00  2.84e+01  
105   3   58  1.01e+01  1.65e+01  
105   3   59  9.96e+00  1.97e+01  
105   3   60  9.04e+00  2.84e+01  
105   3   61  1.12e+02  2.15e+04  
105   3   62  9.55e+00  3.16e+01  
105   3   63  1.04e+01  3.13e+01  
105   3   64  9.07e+00  4.11e+01  
105   4   2   8.97e+00  2.44e+01  
105   4   4   1.32e+04  -1.01e+06 
105   4   6   8.54e+00  6.45e+01  
105   4   7   9.10e+00  5.24e+01  
105   4   8   8.80e+00  2.61e+01  
105   4   9   9.39e+00  1.31e+01  
105   4   10  9.23e+00  1.19e+01  
105   4   11  8.93e+00  3.12e+01  
105   4   12  1.01e+01  1.93e+01  
105   4   13  1.04e+01  1.05e+01  
105   4   14  9.58e+00  1.44e+01  
105   4   15  9.60e+00  2.08e+01  
105   4   16  9.63e+00  -1.71e+00 
105   4   17  9.60e+00  2.28e+01  
105   4   18  9.15e+00  8.86e+00  
105   4   20  9.23e+00  5.81e+00  
105   4   21  9.58e+00  5.36e+00  
105   4   22  9.56e+00  -5.80e-01 
105   4   23  8.97e+00  4.77e+01  
105   4   24  8.88e+00  7.51e+01  
105   4   25  9.81e+00  8.22e+00  
105   4   26  8.73e+00  4.95e+00  
105   4   27  8.64e+00  -3.30e+00 
105   4   28  9.57e+00  3.26e+01  
105   4   29  9.65e+00  1.64e+01  
105   4   30  8.01e+00  5.86e+01  
105   4   31  1.03e+01  1.62e+01  
105   4   32  1.03e+01  -6.85e+00 
105   4   33  9.03e+00  5.08e+00  
105   4   34  9.56e+00  7.10e+00  
105   4   35  1.52e+00  1.35e+02  
105   4   36  9.70e+00  4.74e+00  
105   4   37  1.02e+01  1.11e+01  
105   4   38  9.38e+00  2.48e+01  
105   4   39  9.54e+00  1.01e+01  
105   4   40  1.10e+01  2.43e+01  
105   4   41  4.78e+00  9.08e+01  
105   4   42  9.00e+00  1.66e+00  
105   4   43  1.06e+01  -8.97e+00 
105   4   44  8.28e+00  6.58e+00  
105   4   46  9.24e+00  1.95e+01  
105   4   47  8.38e+00  2.05e+01  
105   4   48  8.91e+00  4.65e+00  
105   4   49  8.65e+00  6.01e+00  
105   4   50  9.37e+00  2.46e+01  
105   4   51  8.86e+00  2.89e+01  
105   4   52  1.04e+01  3.43e+01  
105   4   53  9.15e+00  1.18e+01  
105   4   54  8.98e+00  8.66e+00  
105   4   55  9.29e+00  4.23e+01  
105   4   56  8.42e+00  1.43e+01  
105   4   57  6.39e+00  4.44e+01  
105   4   58  4.07e+00  -7.06e+01 
105   4   59  8.13e+00  1.11e+01  
105   4   60  9.19e+00  5.36e+01  
105   4   61  9.36e+00  3.56e+01  
105   4   62  8.63e+00  4.52e+01  
105   4   63  9.04e+00  2.62e+01  
105   4   64  8.65e+00  2.11e+01  
105   5   3   8.79e+00  4.01e+00  
105   5   4   9.12e+00  4.99e+01  
105   5   5   8.90e+00  3.29e+00  
105   5   6   1.13e+01  -6.78e+00 
105   5   7   9.81e+00  1.08e+01  
105   5   8   9.41e+00  1.48e+01  
105   5   9   1.01e+01  9.70e+00  
105   5   10  9.55e+00  1.60e+01  
105   5   11  9.98e+00  -1.73e-02 
105   5   12  1.02e+01  8.48e+00  
105   5   13  9.66e+00  1.88e+01  
105   5   14  1.03e+01  1.27e+01  
105   5   15  8.53e+00  9.61e+00  
105   5   16  9.87e+00  -1.80e+00 
105   5   17  9.90e+00  1.37e+01  
105   5   18  1.06e+01  1.26e+01  
105   5   20  9.79e+00  1.54e+01  
105   5   21  1.08e+01  -1.15e+01 
105   5   22  1.08e+01  -7.09e+00 
105   5   23  1.04e+01  1.42e+01  
105   5   24  8.72e+00  6.78e+01  
105   5   25  9.89e+00  9.97e+00  
105   5   26  1.05e+01  1.72e+01  
105   5   27  9.94e+00  9.81e+00  
105   5   28  1.05e+01  3.29e+01  
105   5   29  1.12e+01  5.03e+01  
105   5   30  9.62e+00  1.39e+00  
105   5   31  9.92e+00  1.81e+01  
105   5   32  9.38e+00  -8.57e+00 
105   5   33  1.04e+01  1.73e+01  
105   5   34  9.91e+00  -1.20e+01 
105   5   35  9.87e+00  -8.82e-01 
105   5   36  1.29e+01  -4.67e+01 
105   5   37  1.16e+01  -3.53e+01 
105   5   38  1.02e+01  1.47e+01  
105   5   39  1.10e+01  -1.09e+01 
105   5   40  9.45e+00  5.55e+00  
105   5   41  9.13e+00  -8.84e+00 
105   5   42  9.77e+00  -1.04e+00 
105   5   43  1.10e+01  1.69e+01  
105   5   44  8.91e+00  2.88e+00  
105   5   45  1.06e+01  2.47e+01  
105   5   46  9.40e+00  1.91e+00  
105   5   47  9.73e+00  1.65e+01  
105   5   48  1.06e+01  1.86e+01  
105   5   49  1.03e+01  7.28e+00  
105   5   50  9.69e+00  1.24e+01  
105   5   51  9.63e+00  1.25e+01  
105   5   52  9.83e+00  2.19e+01  
105   5   53  1.12e+01  3.71e+01  
105   5   54  1.08e+01  3.35e+00  
105   5   55  8.72e+00  1.58e+01  
105   5   56  9.81e+00  2.51e+01  
105   5   57  1.01e+01  7.04e+01  
105   5   58  1.03e+01  8.58e+00  
105   5   59  9.63e+00  3.53e+01  
105   5   60  9.63e+00  3.26e+01  
105   5   61  9.13e+00  2.68e+01  
105   5   62  9.46e+00  3.07e+01  
105   5   63  1.02e+01  2.80e+01  
105   5   64  9.32e+00  4.79e+01  
105   6   1   9.95e+00  1.46e+01  
105   6   3   9.39e+00  1.07e+01  
105   6   4   8.98e+00  6.90e+00  
105   6   5   9.44e+00  1.93e+00  
105   6   6   9.47e+00  4.74e+00  
105   6   7   9.86e+00  1.30e+00  
105   6   8   9.40e+00  -1.97e+01 
105   6   9   8.51e+00  4.56e-01  
105   6   10  9.87e+00  4.84e-01  
105   6   11  9.54e+00  -6.75e+00 
105   6   12  8.99e+00  -5.29e+00 
105   6   13  9.49e+00  2.36e+01  
105   6   14  9.07e+00  2.47e+01  
105   6   15  9.30e+00  2.63e+00  
105   6   16  9.12e+00  2.75e+00  
105   6   17  9.44e+00  -1.30e+01 
105   6   18  9.13e+00  -7.59e+00 
105   6   19  1.00e+01  -8.50e+00 
105   6   20  1.11e+01  2.09e+01  
105   6   21  9.74e+00  1.62e+01  
105   6   22  9.07e+00  -1.26e+00 
105   6   23  9.95e+00  -3.89e-01 
105   6   24  9.24e+00  -2.53e+00 
105   6   25  9.73e+00  2.43e+00  
105   6   26  1.01e+01  -4.77e+00 
105   6   27  9.35e+00  -1.68e+01 
105   6   28  9.42e+00  3.47e+00  
105   6   29  1.14e+01  -9.70e+00 
105   6   30  1.01e+01  -1.56e+01 
105   6   31  9.63e+00  -1.56e+01 
105   6   32  9.91e+00  -1.82e+01 
105   6   33  8.45e+00  8.00e+00  
105   6   34  1.08e+01  -9.40e+00 
105   6   35  8.84e+00  -2.74e+00 
105   6   36  9.80e+00  8.11e+00  
105   6   37  9.64e+00  8.09e+00  
105   6   38  9.46e+00  -8.75e+00 
105   6   39  1.00e+01  -3.54e+01 
105   6   40  1.11e+01  -2.08e+01 
105   6   41  8.10e+00  1.16e+01  
105   6   42  9.63e+00  1.28e+01  
105   6   43  1.07e+01  -1.26e+01 
105   6   44  1.03e+01  -6.91e+00 
105   6   45  9.36e+00  -2.00e+01 
105   6   46  9.36e+00  -1.94e+01 
105   6   47  9.36e+00  -4.67e+00 
105   6   48  9.37e+00  5.92e+00  
105   6   49  9.08e+00  -1.81e+01 
105   6   50  9.08e+00  9.63e+00  
105   6   51  1.01e+01  -1.67e+01 
105   6   52  9.60e+00  -6.77e+02 
105   6   53  8.98e+00  4.36e+00  
105   6   54  1.00e+01  -1.14e+01 
105   6   55  8.78e+00  1.84e+00  
105   6   56  9.49e+00  -4.23e+00 
105   6   57  8.26e+00  1.57e+01  
105   6   58  9.21e+00  9.03e+00  
105   6   59  9.50e+00  -6.71e+00 
105   6   60  9.84e+00  1.24e+01  
105   6   61  8.96e+00  5.11e+00  
105   6   62  8.83e+00  -3.19e+00 
105   6   63  9.81e+00  9.46e+00  
105   6   64  8.42e+00  8.28e+00  
105   7   1   8.65e+00  7.64e+00  
105   7   2   8.89e+00  2.02e+01  
105   7   3   8.93e+00  7.92e+00  
105   7   4   8.93e+00  2.09e+01  
105   7   5   8.56e+00  2.48e+01  
105   7   6   9.52e+00  3.04e+01  
105   7   7   9.63e+00  4.59e+00  
105   7   8   8.66e+00  4.84e-01  
105   7   9   9.39e+00  -3.51e-01 
105   7   10  8.95e+00  -5.79e+00 
105   7   11  1.05e+01  -9.03e+02 
105   7   12  9.49e+00  -3.65e+00 
105   7   13  9.31e+00  6.50e+00  
105   7   14  9.85e+00  5.91e+00  
105   7   15  8.92e+00  -8.46e+00 
105   7   16  9.27e+00  -7.34e+00 
105   7   17  9.30e+00  -1.06e+01 
105   7   18  9.59e+00  -7.78e+00 
105   7   19  9.71e+00  -4.22e+00 
105   7   20  9.98e+00  9.37e-01  
105   7   21  7.67e+00  6.44e+01  
105   7   22  9.47e+00  -2.37e+00 
105   7   23  9.31e+00  -1.34e+01 
105   7   24  9.27e+00  -1.38e+01 
105   7   25  1.06e+01  -5.29e+00 
105   7   26  9.59e+00  -9.00e+00 
105   7   27  9.43e+00  -1.38e+01 
105   7   28  9.48e+00  -1.04e+01 
105   7   29  9.59e+00  -3.98e+00 
105   7   30  9.88e+00  -1.52e+01 
105   7   31  7.79e+00  4.02e+01  
105   7   32  1.52e+01  3.78e+01  
105   7   33  9.60e+00  -6.07e+00 
105   7   34  9.87e+00  -1.77e+01 
105   7   35  1.10e+01  9.52e+00  
105   7   36  9.45e+00  -2.08e+00 
105   7   37  9.60e+00  -5.56e+00 
105   7   38  8.73e+00  -9.07e+00 
105   7   39  9.32e+00  -7.76e+00 
105   7   40  9.15e+00  -1.32e+00 
105   7   41  1.08e+01  -5.70e+00 
105   7   42  9.94e+00  -1.35e+01 
105   7   43  9.66e+00  -4.46e+00 
105   7   44  1.04e+01  -6.37e+00 
105   7   45  9.50e+00  -8.13e+00 
105   7   46  1.06e+01  -9.81e+00 
105   7   47  1.14e+01  4.54e+01  
105   7   48  8.03e+00  2.18e+00  
105   7   49  8.97e+00  -1.12e+01 
105   7   50  9.64e+00  -9.55e+00 
105   7   51  9.10e+00  -4.83e+00 
105   7   52  7.95e+00  -1.24e+01 
105   7   53  9.79e+00  1.35e+01  
105   7   54  9.73e+00  1.26e+01  
105   7   55  9.24e+00  5.13e+00  
105   7   56  9.99e+00  1.34e+01  
105   7   57  8.77e+00  5.18e+01  
105   7   58  9.08e+00  9.02e+00  
105   7   59  8.83e+00  6.89e+00  
105   7   60  1.03e+01  2.40e+01  
105   7   61  9.76e+00  7.33e+01  
105   7   62  8.94e+00  1.48e+01  
105   7   63  9.78e+00  5.56e+01  
105   7   64  8.68e+00  2.41e+01  
106   0   1   9.51e+00  6.58e+01  
106   0   2   1.03e+01  5.98e+01  
106   0   4   9.41e+00  2.91e+01  
106   0   5   8.82e+00  3.72e+01  
106   0   6   9.21e+00  3.04e+01  
106   0   7   8.69e+00  1.21e+01  
106   0   8   9.19e+00  2.26e+01  
106   0   9   1.00e+01  2.34e+01  
106   0   10  1.04e+01  2.59e+01  
106   0   11  1.01e+01  6.09e+01  
106   0   12  1.06e+01  6.71e+01  
106   0   13  9.81e+00  4.67e+01  
106   0   14  8.45e+00  3.77e+01  
106   0   15  9.44e+00  7.95e+00  
106   0   16  1.07e+01  2.38e+01  
106   0   17  9.25e+00  2.95e+01  
106   0   18  8.81e+00  -1.06e+02 
106   0   19  9.43e+00  2.46e+01  
106   0   20  8.71e+00  1.98e+01  
106   0   21  9.43e+00  3.23e+01  
106   0   22  9.86e+00  2.61e+01  
106   0   23  9.21e+00  7.46e+01  
106   0   24  9.05e+00  4.83e+01  
106   0   25  9.19e+00  2.92e+01  
106   0   26  9.17e+00  3.74e+00  
106   0   27  4.49e+00  6.45e+01  
106   0   28  9.07e+00  1.51e+01  
106   0   29  9.50e+00  1.21e+01  
106   0   30  8.98e+00  7.93e+00  
106   0   31  1.04e+01  2.10e+01  
106   0   32  9.23e+00  1.58e+01  
106   0   33  1.09e+01  1.65e+01  
106   0   34  1.21e+01  2.54e+01  
106   0   35  9.09e+00  5.20e+00  
106   0   36  9.17e+00  4.89e+01  
106   0   37  1.23e+01  3.60e+01  
106   0   38  1.06e+01  2.03e+01  
106   0   39  1.01e+01  2.30e+01  
106   0   40  8.35e+00  -8.62e+00 
106   0   41  9.93e+00  1.29e+01  
106   0   42  1.06e+01  1.78e+01  
106   0   43  9.31e+00  1.42e+01  
106   0   44  9.29e+00  2.44e+01  
106   0   45  9.57e+00  4.38e+01  
106   0   46  9.54e+00  1.98e+01  
106   0   47  1.06e+01  3.06e+01  
106   0   48  9.16e+00  1.80e+01  
106   0   49  9.40e+00  2.62e+01  
106   0   50  1.15e+01  5.88e+01  
106   0   51  1.09e+01  2.72e+01  
106   0   52  1.13e+01  5.78e+01  
106   0   53  8.62e+00  3.17e+01  
106   0   54  8.83e+00  1.73e+01  
106   0   55  9.00e+00  4.38e+01  
106   0   56  9.59e+00  1.95e+01  
106   0   57  9.19e+00  1.47e+01  
106   0   58  9.48e+00  3.83e+01  
106   0   59  1.03e+01  3.84e+01  
106   0   60  9.72e+00  3.25e+01  
106   0   61  9.00e+00  3.25e+01  
106   0   62  1.01e+01  2.75e+01  
106   0   63  1.22e+01  5.27e+01  
106   0   64  8.28e+00  3.58e+01  
106   1   1   9.89e+00  5.68e+01  
106   1   2   1.03e+01  4.50e+01  
106   1   3   1.06e+01  3.10e+01  
106   1   4   9.25e+00  4.20e+01  
106   1   5   1.01e+01  3.96e+01  
106   1   6   1.19e+01  4.88e+01  
106   1   7   9.51e+00  2.03e+01  
106   1   8   1.20e+01  4.31e+01  
106   1   9   9.05e+00  1.00e+01  
106   1   10  1.02e+01  2.85e+01  
106   1   11  1.01e+01  3.13e+01  
106   1   12  1.11e+01  2.82e+01  
106   1   13  9.54e+00  1.20e+01  
106   1   14  1.33e+01  1.43e+01  
106   1   15  9.34e+00  9.33e+00  
106   1   16  1.12e+01  2.01e+01  
106   1   17  1.03e+01  9.58e+00  
106   1   18  1.09e+01  1.71e+01  
106   1   19  1.11e+01  5.58e+00  
106   1   20  1.09e+01  2.43e+01  
106   1   21  1.02e+01  2.42e+01  
106   1   22  1.10e+01  2.24e+01  
106   1   23  1.14e+01  1.89e+01  
106   1   24  1.19e+01  1.92e+01  
106   1   25  1.18e+01  5.48e+01  
106   1   26  1.01e+01  2.09e+01  
106   1   27  1.10e+01  1.98e+01  
106   1   28  1.10e+01  1.11e+01  
106   1   29  1.06e+01  1.47e+01  
106   1   30  1.03e+01  4.79e+00  
106   1   31  1.09e+01  2.61e+01  
106   1   32  1.13e+01  3.71e+01  
106   1   33  1.07e+01  2.62e+01  
106   1   34  1.12e+01  9.62e+00  
106   1   35  1.14e+01  3.28e+01  
106   1   36  1.02e+01  1.66e+01  
106   1   37  1.04e+01  2.21e+01  
106   1   38  9.75e+00  3.42e+01  
106   1   39  1.01e+01  5.20e+00  
106   1   40  9.34e+00  4.88e+01  
106   1   41  1.05e+01  2.71e+01  
106   1   42  1.05e+01  2.29e+01  
106   1   43  1.08e+01  2.55e+01  
106   1   44  1.08e+01  1.07e+01  
106   1   45  1.03e+01  6.67e+00  
106   1   48  1.07e+01  1.46e+01  
106   1   49  9.83e+00  1.50e+01  
106   1   50  1.06e+01  1.78e+01  
106   1   51  9.44e+00  9.28e+00  
106   1   52  1.01e+01  2.56e+01  
106   1   53  1.01e+01  1.78e+01  
106   1   54  9.58e+00  1.73e+01  
106   1   55  1.08e+01  2.51e+01  
106   1   56  1.09e+01  3.34e+01  
106   1   57  9.83e+00  3.45e+01  
106   1   58  1.23e+01  5.35e+01  
106   1   59  9.96e+00  1.83e+01  
106   1   60  1.03e+01  2.46e+01  
106   1   61  1.04e+01  4.29e+01  
106   1   62  9.76e+00  5.26e+01  
106   1   63  1.01e+01  5.27e+01  
106   1   64  1.11e+01  4.86e+01  
106   2   1   9.22e+00  2.87e+01  
106   2   2   9.28e+00  2.84e+01  
106   2   4   9.27e+00  2.10e+01  
106   2   8   9.72e+00  2.18e+01  
106   2   9   9.53e+00  3.02e+01  
106   2   12  1.09e+01  3.05e+01  
106   2   13  9.64e+00  1.22e+01  
106   2   14  9.88e+00  3.53e+01  
106   2   15  1.08e+01  2.78e+01  
106   2   16  8.99e+00  1.49e+01  
106   2   17  1.29e+01  4.37e+01  
106   2   18  1.03e+01  2.43e+01  
106   2   19  1.04e+01  2.62e+01  
106   2   21  1.11e+01  2.40e+01  
106   2   22  9.62e+00  3.21e+01  
106   2   23  2.08e+01  -4.78e+01 
106   2   24  1.11e+01  4.14e+01  
106   2   25  2.00e+01  -1.06e+02 
106   2   26  9.73e+00  1.96e+01  
106   2   27  1.01e+01  1.52e+01  
106   2   28  9.55e+00  2.82e+01  
106   2   29  1.28e+01  9.87e+00  
106   2   30  1.18e+01  4.55e+00  
106   2   31  1.22e+01  1.62e+01  
106   2   32  1.12e+01  2.54e+01  
106   2   33  1.12e+01  4.56e+01  
106   2   34  1.31e+01  -2.52e+01 
106   2   35  1.12e+01  2.83e+01  
106   2   36  9.51e+00  1.32e+01  
106   2   37  1.03e+01  5.38e+01  
106   2   38  1.01e+01  4.88e+01  
106   2   39  1.08e+01  1.73e+01  
106   2   40  1.08e+01  2.59e+01  
106   2   41  9.83e+00  1.55e+01  
106   2   42  1.11e+01  4.57e+01  
106   2   43  1.05e+01  1.06e+01  
106   2   44  1.01e+01  3.61e+01  
106   2   45  1.05e+01  5.34e+01  
106   2   46  1.66e+01  3.96e+01  
106   2   47  1.18e+01  4.82e+01  
106   2   48  1.03e+01  3.06e+01  
106   2   49  9.42e+00  1.16e+01  
106   2   50  1.01e+01  2.48e+01  
106   2   51  1.03e+01  5.17e+01  
106   2   52  1.13e+01  4.41e+01  
106   2   53  1.00e+01  2.72e+01  
106   2   54  1.04e+01  9.35e-01  
106   2   55  9.34e+00  2.87e+01  
106   2   56  1.08e+01  5.93e+01  
106   2   57  1.06e+01  3.59e+01  
106   2   58  9.91e+00  2.76e+01  
106   2   59  1.12e+01  4.42e+01  
106   2   60  9.53e+00  2.86e+01  
106   2   61  1.46e+01  -3.66e+01 
106   2   62  1.06e+01  5.84e+01  
106   2   63  1.01e+01  2.95e+01  
106   2   64  1.05e+01  5.40e+01  
106   3   1   9.82e+00  3.82e+01  
106   3   2   9.49e+00  1.78e+01  
106   3   3   9.55e+00  3.48e+01  
106   3   4   9.96e+00  3.40e+01  
106   3   5   9.49e+00  2.59e+01  
106   3   6   8.18e+00  5.63e+01  
106   3   7   1.02e+01  2.54e+01  
106   3   8   9.18e+00  7.90e+01  
106   3   9   9.67e+00  4.24e+01  
106   3   10  1.04e+01  3.97e+01  
106   3   11  1.34e+01  3.81e+01  
106   3   12  9.69e+00  2.29e+01  
106   3   13  8.77e+00  9.07e+00  
106   3   14  8.72e+00  1.93e+01  
106   3   15  1.01e+01  1.86e+01  
106   3   16  9.26e+00  1.17e+01  
106   3   17  9.99e+00  1.96e+01  
106   3   18  1.25e+01  4.87e+01  
106   3   19  9.86e+00  6.77e+00  
106   3   20  1.01e+01  2.21e+01  
106   3   21  9.41e+00  -6.20e+00 
106   3   22  9.98e+00  1.96e+01  
106   3   23  1.16e+01  2.78e+01  
106   3   24  1.02e+01  2.22e+01  
106   3   25  9.90e+00  8.93e+00  
106   3   26  9.27e+00  5.99e+00  
106   3   27  1.04e+01  1.37e+01  
106   3   28  9.83e+00  4.66e+01  
106   3   29  9.66e+00  2.01e+01  
106   3   30  9.01e+00  1.71e+01  
106   3   31  8.93e+00  2.28e+00  
106   3   32  9.28e+00  1.36e+01  
106   3   33  1.24e+01  1.85e+01  
106   3   34  9.72e+00  8.22e+00  
106   3   35  9.07e+00  9.22e+00  
106   3   36  1.17e+01  -9.96e+00 
106   3   37  9.97e+00  1.87e+01  
106   3   38  9.06e+00  4.15e+01  
106   3   39  9.39e+00  2.08e+01  
106   3   40  1.11e+01  2.74e+01  
106   3   41  9.38e+00  1.13e+01  
106   3   42  9.60e+00  2.02e+01  
106   3   43  9.70e+00  1.32e+01  
106   3   44  8.42e+00  5.17e+00  
106   3   45  9.64e+00  8.91e+00  
106   3   46  1.04e+01  2.09e+01  
106   3   47  1.01e+01  1.93e+01  
106   3   48  8.56e+00  3.98e+01  
106   3   49  9.61e+00  2.39e+01  
106   3   50  9.72e+00  1.25e+01  
106   3   51  9.13e+00  3.17e+01  
106   3   52  8.96e+00  2.45e+00  
106   3   53  8.36e+00  2.57e+01  
106   3   54  1.20e+01  2.12e+01  
106   3   55  8.82e+00  4.90e+00  
106   3   56  9.17e+00  1.51e+01  
106   3   57  9.00e+00  2.13e+01  
106   3   58  9.30e+00  2.38e+01  
106   3   59  9.65e+00  2.65e+01  
106   3   60  1.05e+01  2.22e+01  
106   3   61  1.03e+01  3.41e+01  
106   3   62  9.58e+00  2.50e+01  
106   3   63  1.06e+01  3.12e+01  
106   3   64  8.93e+00  2.15e+01  
106   4   1   9.62e+00  3.89e+01  
106   4   2   9.92e+00  4.82e+01  
106   4   3   1.12e+01  5.10e+00  
106   4   4   1.20e+01  -1.64e+01 
106   4   5   9.12e+00  1.69e+01  
106   4   6   1.01e+01  1.14e+01  
106   4   7   9.59e+00  7.29e+00  
106   4   8   1.09e+01  1.67e+01  
106   4   9   1.05e+01  1.58e+01  
106   4   10  9.83e+00  1.92e+01  
106   4   11  7.77e+00  6.01e+00  
106   4   12  1.04e+01  2.02e+01  
106   4   13  1.06e+01  1.41e+00  
106   4   14  1.01e+01  -5.54e-01 
106   4   15  1.05e+01  1.07e+01  
106   4   16  1.21e+01  8.23e+00  
106   4   17  1.14e+01  1.15e+01  
106   4   18  9.60e+00  1.37e+01  
106   4   19  7.80e+00  -1.15e+01 
106   4   20  1.16e+01  -1.87e+00 
106   4   21  9.39e+00  1.20e+01  
106   4   22  1.11e+01  1.95e+00  
106   4   23  1.03e+01  1.20e+01  
106   4   24  1.73e+01  -4.95e+01 
106   4   25  1.74e+01  -2.61e+01 
106   4   26  1.18e+01  1.31e+01  
106   4   27  1.09e+01  7.37e+00  
106   4   28  1.12e+01  -1.40e-01 
106   4   29  9.86e+00  -9.47e+00 
106   4   30  1.00e+01  -2.44e+00 
106   4   31  1.02e+01  7.76e+00  
106   4   32  1.07e+01  2.28e+01  
106   4   33  9.69e+00  1.56e+01  
106   4   34  1.40e+01  -2.31e+01 
106   4   35  1.04e+01  -1.24e+01 
106   4   36  9.80e+00  3.77e+00  
106   4   37  1.02e+01  -1.39e+01 
106   4   38  1.01e+01  1.99e+01  
106   4   39  1.99e+01  -2.07e+02 
106   4   40  1.17e+01  1.65e+01  
106   4   41  1.10e+01  2.00e+01  
106   4   42  1.08e+01  2.46e+01  
106   4   43  1.02e+01  1.08e+01  
106   4   44  1.15e+01  -5.43e+00 
106   4   45  9.14e+00  7.13e+00  
106   4   46  1.10e+01  1.01e+01  
106   4   47  1.09e+01  9.49e+00  
106   4   48  1.03e+01  2.08e+01  
106   4   50  9.30e+00  1.40e+01  
106   4   51  1.16e+01  4.36e+00  
106   4   52  1.08e+01  3.66e+01  
106   4   53  9.98e+00  1.41e+01  
106   4   54  1.15e+01  -4.42e+00 
106   4   55  1.06e+01  1.60e+01  
106   4   56  1.65e+01  -1.18e+02 
106   4   57  1.08e+01  1.79e+01  
106   4   58  1.08e+01  2.42e+01  
106   4   59  9.61e+00  2.50e+01  
106   4   60  1.11e+01  2.25e+01  
106   4   61  1.07e+01  4.26e+01  
106   4   63  9.62e+00  1.10e+01  
106   4   64  1.06e+01  4.01e+01  
106   5   1   1.07e+01  6.63e+01  
106   5   2   8.44e+00  1.17e+01  
106   5   3   9.56e+00  3.91e+01  
106   5   4   1.01e+01  2.20e+01  
106   5   5   1.07e+01  3.58e+01  
106   5   6   9.67e+00  7.98e+00  
106   5   7   1.05e+01  3.20e+01  
106   5   8   1.17e+01  -8.99e+00 
106   5   9   9.18e+00  2.86e+01  
106   5   10  9.41e+00  1.61e+01  
106   5   11  1.02e+01  1.71e+01  
106   5   12  1.26e+01  -1.13e+01 
106   5   13  1.18e+01  -1.01e+01 
106   5   14  8.87e+00  1.03e+01  
106   5   15  9.93e+00  2.71e-01  
106   5   16  1.00e+01  9.76e-01  
106   5   17  9.32e+00  3.10e+00  
106   5   18  1.06e+01  6.51e+00  
106   5   19  1.14e+01  3.07e+01  
106   5   20  1.20e+01  -2.53e+01 
106   5   21  1.10e+01  -3.98e+00 
106   5   22  1.05e+01  7.92e+00  
106   5   23  1.03e+01  -1.69e+01 
106   5   24  1.14e+01  -2.24e+00 
106   5   25  1.19e+01  -2.07e+01 
106   5   26  1.04e+01  4.41e+00  
106   5   27  1.06e+01  -7.90e+00 
106   5   28  1.03e+01  2.39e+01  
106   5   29  1.18e+01  -1.52e-01 
106   5   30  1.20e+01  -1.65e+01 
106   5   31  1.13e+01  -5.59e+00 
106   5   32  1.10e+01  2.32e+01  
106   5   33  9.86e+00  9.98e+00  
106   5   34  1.20e+01  2.31e+00  
106   5   35  1.13e+01  1.10e+02  
106   5   36  9.28e+00  -6.50e+00 
106   5   37  1.04e+01  1.54e+00  
106   5   38  1.10e+01  1.67e+01  
106   5   39  1.14e+01  5.15e+00  
106   5   40  1.04e+01  2.21e+01  
106   5   41  1.06e+01  2.15e+01  
106   5   42  1.10e+01  -1.79e+01 
106   5   43  1.10e+01  1.15e+01  
106   5   44  1.16e+01  -3.74e+01 
106   5   45  1.00e+01  8.95e+00  
106   5   46  1.02e+01  1.55e+01  
106   5   47  1.10e+01  9.42e+00  
106   5   48  1.04e+01  9.65e+00  
106   5   49  1.00e+01  5.50e+00  
106   5   50  1.05e+01  7.92e+00  
106   5   51  1.03e+01  5.08e+00  
106   5   52  1.03e+01  2.82e+01  
106   5   53  1.03e+01  1.19e+01  
