MMFE8 VMM CH  Gain      Pedestal  (PDO = Q*G + P)
102   2   28  1.15e+01  7.25e+00  
102   2   29  8.95e+00  1.44e+02  
102   2   30  1.39e+01  -1.14e+02 
102   2   31  1.22e+01  -2.44e+01 
102   2   32  1.24e+01  5.74e+01  
102   2   33  1.14e+01  8.83e+00  
102   2   34  1.15e+01  3.81e-03  
102   2   35  1.12e+01  -2.12e+01 
102   2   36  1.45e+01  -9.45e+01 
102   2   37  1.43e+01  -8.67e+01 
102   2   38  9.66e+00  6.54e+01  
102   2   39  9.97e+00  3.91e+01  
102   2   40  8.49e+00  1.20e+02  
102   2   41  9.76e+00  1.09e+02  
102   2   42  9.90e+00  6.09e+01  
102   2   43  1.26e+01  -3.59e+00 
102   2   44  1.41e+01  -1.04e+02 
102   2   45  1.38e+01  -5.21e+01 
102   2   47  1.05e+01  2.79e+01  
102   2   48  1.26e+01  -4.17e+01 
102   2   49  1.22e+01  -4.49e+01 
102   2   50  1.02e+01  1.12e+01  
102   2   51  1.12e+01  2.54e+01  
102   2   52  1.06e+01  -1.73e+01 
102   2   53  1.10e+01  3.15e+01  
102   2   54  1.12e+01  4.54e+01  
102   2   55  1.06e+01  2.73e+01  
102   2   56  1.16e+01  1.89e+01  
102   2   57  1.03e+01  2.37e+01  
102   2   58  1.06e+01  2.40e+01  
102   2   59  1.12e+01  1.63e+01  
102   2   60  1.10e+01  1.43e+01  
102   2   61  1.11e+01  4.08e+01  
102   2   62  1.07e+01  1.67e+01  
102   2   63  9.63e+00  6.53e+01  
102   2   64  1.05e+01  4.12e+01  
102   3   1   8.93e+00  3.57e+01  
102   3   2   9.49e+00  3.78e+01  
102   3   3   9.97e+00  3.54e+01  
102   3   4   1.01e+01  3.76e+01  
102   3   5   1.13e+01  4.81e+01  
102   3   6   9.90e+00  3.78e+01  
102   3   7   1.14e+01  5.51e+01  
102   3   8   1.04e+01  3.73e+01  
102   3   9   9.76e+00  4.13e+01  
102   3   10  1.00e+01  2.08e+01  
102   3   11  1.02e+01  4.64e+01  
102   3   12  9.46e+00  4.00e+01  
102   3   13  1.03e+01  2.80e+01  
102   3   14  1.08e+01  3.02e+01  
102   3   15  9.86e+00  2.92e+01  
102   3   16  1.08e+01  3.12e+01  
102   3   17  1.13e+01  3.59e+01  
102   3   18  1.15e+01  6.57e+01  
102   3   19  1.18e+01  4.16e+01  
102   3   20  1.13e+01  3.30e+01  
102   3   21  1.00e+01  2.20e+01  
102   3   22  1.10e+01  2.74e+01  
102   3   23  1.11e+01  2.67e+01  
102   3   24  1.21e+01  4.55e+01  
102   3   25  1.12e+01  3.60e+01  
102   3   26  1.17e+01  4.99e+01  
102   3   27  1.28e+01  5.62e+01  
102   3   28  1.25e+01  2.47e+01  
102   3   29  1.18e+01  3.69e+01  
102   3   30  1.25e+01  7.39e+01  
102   3   31  1.28e+01  4.82e+01  
102   3   32  1.11e+01  5.53e+01  
102   3   33  1.11e+01  2.67e+01  
102   3   34  1.04e+01  4.41e+01  
102   3   35  1.08e+01  2.54e+01  
102   3   36  1.17e+01  3.65e+01  
102   3   37  1.30e+01  5.18e+01  
102   3   38  1.13e+01  4.04e+01  
102   3   39  1.29e+01  3.73e+01  
102   3   40  1.28e+01  7.13e+01  
102   3   41  1.24e+01  4.35e+01  
102   3   42  1.14e+01  3.69e+01  
102   3   43  1.20e+01  4.39e+01  
102   3   44  1.20e+01  5.11e+01  
102   3   45  1.15e+01  3.80e+01  
102   3   46  1.25e+01  3.89e+01  
102   3   47  1.08e+01  9.00e+01  
102   3   48  1.14e+01  9.94e+01  
102   3   49  1.22e+01  4.98e+01  
102   3   50  1.20e+01  5.11e+01  
102   3   51  9.61e+00  3.63e+01  
102   3   52  1.18e+01  9.70e+01  
102   3   53  1.08e+01  3.89e+01  
102   3   54  1.09e+01  1.21e+02  
102   3   55  1.36e+01  5.85e+01  
102   3   56  1.04e+01  4.75e+01  
102   3   57  1.16e+01  5.21e+01  
102   3   58  1.09e+01  4.93e+01  
102   3   59  1.17e+01  5.40e+01  
102   3   60  1.09e+01  5.56e+01  
102   3   61  1.11e+01  6.25e+01  
102   3   62  1.23e+01  6.75e+01  
102   3   63  1.11e+01  9.81e+01  
102   3   64  1.16e+01  7.23e+01  
102   4   1   8.56e+00  1.25e+01  
102   4   2   1.07e+01  1.87e+01  
102   4   3   1.04e+01  2.20e+01  
102   4   4   1.03e+01  2.97e+01  
102   4   5   1.32e+04  -4.32e+05 
102   4   6   1.32e+04  -4.32e+05 
102   4   7   1.01e+01  -5.23e+00 
102   4   8   9.88e+00  1.42e+01  
102   4   10  1.06e+01  3.14e+01  
102   4   11  1.11e+01  3.94e+01  
102   4   12  1.04e+01  8.71e+00  
102   4   13  1.16e+01  -2.12e+01 
102   4   14  9.35e+00  6.87e+01  
102   4   15  1.26e+01  -3.30e+01 
102   4   16  1.05e+01  1.83e+01  
102   4   17  1.03e+01  -2.41e+00 
102   4   18  1.14e+01  -1.35e+01 
102   4   19  1.32e+04  -4.32e+05 
102   4   20  1.10e+01  -1.46e+01 
102   4   21  1.00e+01  -4.93e+00 
102   4   22  1.24e+01  1.47e+01  
102   4   23  5.86e+00  -7.76e+01 
102   4   24  1.27e+01  -4.45e+01 
102   4   25  1.11e+01  -4.11e+01 
102   4   26  1.17e+01  -1.01e+01 
102   4   27  1.20e+01  -4.35e+01 
102   4   28  1.08e+01  -2.64e+01 
102   4   29  1.12e+01  9.47e+00  
102   4   30  1.20e+01  2.19e+01  
102   4   31  1.10e+01  -9.98e+00 
102   4   32  9.59e+00  2.72e+01  
102   4   33  1.13e+01  -3.79e+01 
102   4   34  9.41e+00  6.25e+01  
102   4   35  1.21e+01  1.19e+02  
102   4   36  1.16e+01  1.20e+01  
102   4   37  8.80e+00  1.46e+00  
102   4   38  1.27e+01  -4.07e+01 
102   4   40  9.92e+00  1.73e+00  
102   4   41  1.31e+01  -1.75e+01 
102   4   42  1.07e+01  8.75e+00  
102   4   43  1.11e+01  1.15e+01  
102   4   44  1.03e+01  -8.94e+00 
102   4   45  1.03e+01  -1.67e+01 
102   4   46  1.14e+01  5.09e+01  
102   4   47  9.12e+00  1.50e+00  
102   4   48  1.14e+01  -1.81e+01 
102   4   49  1.18e+01  2.96e+00  
102   4   50  1.11e+01  8.35e+00  
102   4   51  9.86e+00  2.04e+00  
102   4   52  9.84e+00  -1.70e+00 
102   4   53  1.01e+01  1.36e+01  
102   4   54  1.17e+01  -6.66e+00 
102   4   55  9.87e+00  2.00e+01  
102   4   56  8.42e+00  2.97e+01  
102   4   57  1.07e+01  -3.27e+00 
102   4   58  1.25e+01  -4.75e+01 
102   4   59  1.11e+01  2.16e+01  
102   4   60  1.03e+01  1.23e+01  
102   4   61  8.58e+00  1.23e+01  
102   4   62  1.06e+01  -7.17e+02 
102   4   63  9.87e+00  1.20e+01  
102   4   64  1.04e+01  1.25e+00  
102   5   1   8.61e+00  1.47e+01  
102   5   2   9.56e+00  3.21e+01  
102   5   5   1.01e+01  2.52e+01  
102   5   6   8.55e+00  1.53e+01  
102   5   7   1.04e+01  3.25e+01  
102   5   8   9.88e+00  2.61e+01  
102   5   9   8.91e+00  2.21e+01  
102   5   10  1.00e+01  2.83e+01  
102   5   11  4.47e+00  -2.54e+01 
102   5   12  9.10e+00  1.78e+01  
102   5   13  1.10e+01  -1.86e+00 
102   5   14  9.73e+00  3.09e+01  
102   5   15  9.94e+00  1.29e+01  
102   5   16  9.62e+00  5.61e+00  
102   5   17  1.01e+01  4.49e+00  
102   5   18  1.02e+01  3.57e+01  
102   5   19  9.91e+00  1.20e+01  
102   5   20  9.42e+00  5.75e+01  
102   5   21  9.84e+00  1.51e+01  
102   5   22  1.03e+01  -4.29e+00 
102   5   23  9.55e+00  -9.26e+00 
102   5   24  9.29e+00  6.54e+00  
102   5   25  1.09e+01  5.07e+00  
102   5   26  1.00e+01  9.60e+00  
102   5   28  1.08e+01  8.69e+00  
102   5   29  1.08e+01  3.28e+01  
102   5   30  1.12e+01  -1.75e+00 
102   5   31  1.05e+01  -9.87e-01 
102   5   32  1.23e+01  -2.06e+01 
102   5   33  1.07e+01  9.53e+00  
102   5   34  9.93e+00  -9.20e+00 
102   5   35  9.87e+00  -1.10e+00 
102   5   36  1.13e+01  -3.66e+00 
102   5   37  6.86e+00  -7.70e+00 
102   5   38  1.02e+01  7.63e+00  
102   5   39  9.66e+00  3.39e+00  
102   5   40  9.25e+00  1.28e+01  
102   5   41  9.43e+00  9.52e+00  
102   5   42  1.01e+01  1.97e+01  
